Galaxy,Q,lam_kpc,eps,chi2,nu,chi2_red,flag_edge,flag_ok,status,lam_kpc_ll
UGC08550_rotmod,1,1.3963332052675497,3.0,2.8352909364451686,9,0.3150323262716854,1,1,EDGE_LOW,
UGC08699_rotmod,1,73.7652680061739,3.0,369.5269491202204,39,9.475049977441548,0,1,OK,
UGC08837_rotmod,1,13.969960703413228,3.0,0.902876009302254,6,0.150479334883709,0,1,OK,
UGC09037_rotmod,1,200.0,1.117365242145814,204.9753801679477,20,10.248769008397385,1,1,EDGE_UP,200.0
UGC09133_rotmod,1,191.6803784837339,3.0,1476.6686572464537,66,22.373767534037178,0,1,OK,
UGC10310_rotmod,1,0.3000000000000001,1.365346398186564,0.2703736677293399,5,0.05407473354586798,1,1,EDGE_LOW,
UGC11455_rotmod,1,199.99908051342476,4.0547372576280796e-20,570.8705117198161,34,16.790309168229886,1,1,EDGE_UP,199.99908051342476
UGC11557_rotmod,1,117.61706868266428,1.3715325024789764e-24,52.10537047963725,10,5.210537047963725,0,1,OK,
UGC11820_rotmod,1,0.8431600998424069,2.825894784199516,1.4331506433864043,8,0.17914383042330054,1,1,EDGE_LOW,
UGC11914_rotmod,1,199.9999766200093,1.1573538621633629e-14,265.650275204513,63,4.216671034992269,1,1,EDGE_UP,199.9999766200093
UGC12506_rotmod,1,0.3,1.23620754798939,129.90971275155673,29,4.4796452672950595,1,1,EDGE_LOW,
UGC12632_rotmod,1,0.6862126753746911,2.4469190636505584,0.8768316724874498,13,0.06744859019134229,1,1,EDGE_LOW,
UGC12732_rotmod,1,2.100149074023173,3.0,1.0737840013516655,14,0.07669885723940469,1,1,EDGE_LOW,
UGCA281_rotmod,1,1.4749499906561645,2.446338250588328,0.0755071771013879,5,0.015101435420277582,1,1,EDGE_LOW,
UGCA442_rotmod,1,1.0765702641293469,3.0,5.715068384746818,6,0.952511397457803,1,1,EDGE_LOW,
UGCA444_rotmod,1,0.3000000000000017,3.0,4.199379270729825,34,0.12351115502146544,1,1,EDGE_LOW,
